"class","validName","stage","X","buoyancy","capsule","chlb","chlc","Coloniales","DMS","feeding_strategy","Forme","fyco","motility","nfix","Parasitic","Symbiosis_bacterienne","Taille.um.","Toxines"
"Dinophyceae","Peridinium",NA,NA,"0",NA,"0","1",NA,"1","mixo","ellipsoid","0","1","0",NA,NA,"35","0"
"Dinophyceae","Phalacroma",NA,NA,"0",NA,"0",NA,NA,"1","hetero","ice cream","0","1","0","0",NA,"70","1"
"Dinophyceae","Polarella",NA,NA,NA,NA,NA,NA,NA,"1","mixo","ellipsoid",NA,"1","0",NA,NA,"10","0"
"Dinophyceae","Prorocentrum","asexual",NA,NA,"theca",NA,NA,"0","1","mixo","leaf",NA,"1",NA,"0","1","20","1"
"Dinophyceae","Proterythropsis",NA,NA,NA,NA,NA,NA,NA,"1","hetero",NA,NA,"1",NA,NA,NA,"17",NA
"Dinophyceae","Protodinium",NA,NA,NA,NA,NA,NA,NA,"1","auto",NA,NA,"1","0",NA,NA,"11","0"
"Dinophyceae","Protoperidinium",NA,NA,"0","theca","0","0","0","1","hetero","Sphere + half cone","0","1","0",NA,NA,"100","0"
"Dinophyceae","Ptychodiscus",NA,NA,NA,NA,NA,NA,NA,"1","mixo",NA,NA,"1",NA,NA,NA,"30","1"
"Dinophyceae","Scrippsiella",NA,NA,"0",NA,"0","1",NA,"1","mixo","sphere","0","1","0","0",NA,"22","1"
"Dinophyceae","Spiniferodinium",NA,NA,NA,NA,NA,NA,NA,"1","auto","ellipsoid",NA,"0","0",NA,NA,"42","0"
"Dinophyceae","Torodinium",NA,NA,NA,NA,NA,NA,NA,"1","hetero",NA,NA,"1",NA,NA,NA,"108",NA
"Dinophyceae","Woloszynskia",NA,NA,"0",NA,"0",NA,NA,"1","mixo",NA,"0","1","0",NA,NA,"12","0"
"Euglenoidea","Eutreptiella",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"1",NA,NA,NA,"17",NA
"Imbricatea","Pseudopirsonia",NA,NA,NA,NA,"0","0",NA,"0","hetero","sphere","0","1","0","1",NA,"8","0"
"Incertae_Sedis","Commation",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"9",NA
"Incertae_Sedis","Haplozoon",NA,NA,NA,NA,"0","0",NA,"0","hetero","Multi-cylinder","0","1","0","1",NA,"90","0"
"Incertae_Sedis","Quadricilia",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"10",NA
"Intramacronucleata","Amphorellopsis",NA,NA,NA,NA,"0","0",NA,"0","hetero","bowl","0","1","0","0",NA,"35","0"
"Intramacronucleata","Codonellopsis",NA,NA,NA,NA,"0","0",NA,"0","hetero","bowl","0","1","0",NA,NA,"40","0"
"Intramacronucleata","Cymatocylis",NA,NA,NA,NA,"0","0",NA,"0","hetero","bowl","0","1","0","0",NA,"90","0"
"Intramacronucleata","Didinium",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"110","0"
"Intramacronucleata","Lohmanniella",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"40",NA
"Intramacronucleata","Loxophyllum",NA,NA,NA,NA,"0","0",NA,"0","hetero","ellipsoidal","0","1","0",NA,NA,"90","0"
"Intramacronucleata","Mesodinium",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"68",NA
"Intramacronucleata","Pelagostrobilidium",NA,NA,NA,NA,"0","0",NA,"0","hetero",NA,"0","1","0",NA,NA,"68","0"
"Intramacronucleata","Pithites",NA,NA,NA,NA,"0","0",NA,"0","hetero",NA,"0","1","0",NA,NA,"68","0"
"Intramacronucleata","Pseudocohnilembus",NA,NA,NA,NA,"0","0",NA,"0","hetero",NA,"0","1","0",NA,NA,"68","0"
"Intramacronucleata","Pseudotontonia",NA,NA,NA,NA,"0","0",NA,"0","hetero","Rotational ellipsoid","0","1","0",NA,NA,"70","0"
"Intramacronucleata","Spirostrombidium",NA,NA,NA,NA,"0","0",NA,"0","hetero",NA,"0","1","0",NA,NA,"68","0"
"Intramacronucleata","Spirotontonia",NA,NA,NA,NA,"0","0",NA,"0","hetero","obconical","0","1","0",NA,NA,"100","0"
"Intramacronucleata","Strombidinopsis",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"68","0"
"Intramacronucleata","Strombidium",NA,NA,NA,NA,NA,NA,NA,"0","hetero","bowl",NA,"1",NA,NA,NA,"50","0"
"Intramacronucleata","Tintinnopsis",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"0",NA,NA,NA,"60","0"
"Intramacronucleata","Uronema",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"68",NA
"Intramacronucleata","Zoothamnium",NA,NA,NA,NA,NA,NA,"1","0","hetero","triangle",NA,"1",NA,"1","1","60",NA
"Kathablepharidae_cl","Leucocryptos",NA,NA,"0",NA,"0","0",NA,"0","hetero","Cone + half sphere","0","1","0","0",NA,"6","0"
"Mamiellophyceae","Bathycoccus",NA,NA,NA,NA,NA,NA,NA,"0","auto","ellipsoid",NA,"0",NA,NA,NA,"1",NA
"Mamiellophyceae","Dolichomastix",NA,NA,"0",NA,"1","0",NA,"0","auto","Rotational ellipsoid","0","1","0",NA,NA,"3","0"
"Mamiellophyceae","Mamiella",NA,NA,NA,NA,NA,NA,NA,"0","auto","Rotational ellipsoid",NA,"1",NA,NA,NA,"3","0"
"Mamiellophyceae","Micromonas",NA,NA,"0",NA,"1","0",NA,"1","auto","Rotational ellipsoid","0","1","0",NA,NA,"2","0"
"Ochrophyta_cl","Bolidomonas",NA,NA,NA,NA,NA,NA,NA,"0","auto","sphere",NA,"1","0",NA,NA,"2","0"
"Pelagophyceae","Aureococcus",NA,NA,NA,NA,NA,NA,NA,"1","mixo",NA,NA,"0",NA,NA,NA,"2",NA
"Pelagophyceae","Pelagomonas",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"1",NA,NA,NA,"2",NA
"Pelagophyceae","Sarcinochrysis",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"1","0",NA,NA,"5","0"
"Perkinsidae","Parvilucifera",NA,NA,NA,NA,"0","0",NA,"0","hetero","Rotational ellipsoid","0","1","0","1",NA,"40","0"
"Picomonadida","Picomonas",NA,NA,NA,NA,"0","0",NA,"0","hetero","cylindrical","0","1","0","0",NA,"2","0"
"Prasinophytae","Prasinoderma",NA,NA,NA,NA,NA,NA,NA,"1","auto","sphere",NA,"0","0",NA,NA,"3","0"
"Prasinophytae","Pterosperma",NA,NA,"0",NA,"1","0",NA,"1","auto","sphere","0","1","0",NA,NA,"15","0"
"Prasinophytae","Pyramimonas",NA,NA,"0",NA,"1","0",NA,"1","auto","trapezoid","0","1","0",NA,NA,"4","0"
"Prymnesiales","Chrysochromulina",NA,NA,"0",NA,"0","1",NA,"1","mixo","sphere ","0","1","0","0",NA,"5","1"
"Prymnesiales","Corymbellus",NA,NA,NA,NA,NA,NA,NA,"1","auto",NA,NA,"1",NA,NA,NA,"9",NA
"Prymnesiales","Gladiolithus",NA,NA,NA,"calcifiers",NA,NA,"0.5","1","auto","bowl",NA,"0",NA,NA,NA,"21",NA
"Prymnesiales","Haptolina",NA,NA,NA,NA,NA,NA,NA,"1","mixo","Rotational ellipsoid",NA,"1","0","0",NA,"9","0"
"Prymnesiales","Prymnesium",NA,NA,"0",NA,"0","1",NA,"1","mixo","Rotational ellipsoid","0","1","0","0",NA,"9","1"
