,0,0,0,0,0,1825,0,5110,0,1460,0,0,0,0,0
,0,0,730,1825,0,0,0,2920,0,2920,0,0,0,0,0
,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0
,0,0,0,0,730,3650,0,0,0,0,0,0,0,0,0
Apedinella,2190,0,0,0,730,0,0,0,0,1460,0,0,0,0,0
Dictyocha,0,0,0,0,1460,0,0,0,1825,5110,1825,0,0,0,0
Pseudopedinella,0,1460,5840,0,730,0,0,1460,7300,2190,0,0,0,0,0
Pseudopedinella,730,730,5840,0,2920,0,0,0,7300,10220,5475,0,0,0,0
Cryptochrysis,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0
Hemiselmis,0,1460,0,3650,0,0,0,0,0,0,0,0,0,0,0
Plagioselmis,2920,4380,2190,1825,13140,0,1460,5840,18250,0,3650,7300,3650,5475,0
Teleaulax,2920,0,2920,5475,44530,7300,0,8030,21900,5110,16425,7300,7300,14600,3650
Teleaulax,1460,730,3650,0,24820,1825,0,8030,14600,3650,9125,0,5475,3650,0
,19710,4380,11680,7300,24820,3650,10950,4380,12775,2190,7300,5475,5475,36500,1825
,13140,2920,7300,3650,113880,10950,2920,20440,34675,17520,27375,9125,3650,32850,7300
Eutreptiella,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0
Dolichomastix,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0
Pachysphaera,0,0,0,0,730,0,0,0,1825,0,0,0,0,0,0
Pterosperma,0,0,0,0,0,0,1460,0,0,0,0,0,0,0,0
Pyramimonas,0,6570,0,0,2920,0,5110,0,0,730,3650,0,0,0,0
Pyramimonas,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyramimonas,0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyramimonas,2920,2920,0,1825,1460,0,2190,1460,3650,4380,5475,0,0,0,0
Pyramimonas,5840,14600,0,0,1460,0,12410,2920,3650,730,5475,0,0,1825,0
Chrysochromulina,33580,157680,47450,200750,19710,32850,169360,188340,248200,52560,204400,153300,58400,87600,40150
Chrysochromulina,23360,13140,73730,98550,75190,10950,115340,75920,167900,51830,248200,211700,32850,109500,124100
Chrysochromulina,2190,1460,7300,3650,8760,0,0,8760,3650,5110,1825,0,0,0,0
Corymbellus,24820,0,6570,0,42340,0,0,7300,47450,730,32850,0,1825,3650,0
Phaeocystis_haploid,0,0,0,3650,0,7300,0,8760,0,0,0,0,0,0,0
Phaeocystis_diploid,9490,0,4380,4093475,89790,6621100,55480,624880,5914825,80300,5646550,10774800,2865250,11249300,3139000
,48910,0,2920,10950,8030,0,0,19710,25550,5110,9125,0,7300,0,0
,10220,20440,17520,65700,7300,16425,48180,11680,94900,4380,73000,124100,62050,36500,29200
,23360,3650,17520,299300,40880,240900,84680,64240,664300,64970,1007400,1635200,416100,700800,403325
,5840,0,15330,0,9490,1825,0,0,0,3650,7300,0,1825,1825,0
,0,0,1460,0,2190,0,0,0,0,730,1825,0,0,0,0
,0,0,0,5475,0,0,0,0,1825,0,1825,5475,1825,0,0
,1460,0,2920,0,1460,0,1460,2190,1825,730,0,0,0,0,0
,116800,201480,131400,470850,51830,211700,277400,182500,292000,75920,876000,226300,248200,467200,213525
,45260,26280,40150,173375,47450,40150,91250,71540,160600,40150,343100,153300,186150,94900,62050
,9490,4380,10950,16425,5840,1825,4380,8760,18250,4380,5475,0,16425,1825,0
,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattonella,0,0,1460,0,0,0,0,0,0,0,0,0,0,0,0
Heterosigma,7300,8760,13870,9125,8760,5475,9490,14600,20075,4380,23725,9125,5475,7300,0
Raphidophyceae,0,0,2190,0,0,0,3650,2920,0,730,0,0,0,0,0
Commation,0,0,1460,1825,730,0,0,2920,5475,2190,0,0,0,0,0
,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0
Leucocryptos,1460,0,730,0,2190,0,0,2920,7300,1460,1825,3650,0,0,1825
Meringosphaera,1460,0,2920,0,0,0,0,2920,1825,2190,3650,0,0,0,0
Quadricilia,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0
Telonema,0,0,0,0,1460,0,1460,730,1825,730,3650,0,0,0,0
Telonema,2190,1460,5840,3650,3650,0,0,5110,9125,1460,14600,5475,0,1825,1825
Bicosta,0,0,0,0,0,0,0,0,0,0,0,0,21900,0,0
Bicosta,0,0,0,0,0,0,1460,0,0,0,0,0,1825,0,0
Bicosta,0,0,0,0,0,0,0,4380,0,0,0,0,0,0,0
Calliacantha,730,730,0,3650,730,0,0,6570,73000,0,54750,10950,65700,1825,0
Calliacantha,730,0,0,1825,0,0,0,13140,0,0,43800,5475,25550,0,0
Calliacantha,0,0,0,0,0,0,0,0,1825,0,0,0,0,1825,0
Crucispina,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0
Diaphanoeaca,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,0
Monosiga,3650,0,0,47450,0,0,4380,0,135050,0,186150,65700,47450,120450,0
Monosiga,0,0,0,3650,0,3650,0,5110,0,0,76650,0,0,10950,0
Parvicorbicula,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0
Parvicorbicula,2920,0,0,7300,730,3650,2920,5110,51100,730,21900,14600,21900,0,0
Pleurasiga,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0
,0,0,0,3650,0,0,0,2920,0,0,0,0,0,5475,0
,730,0,0,0,0,0,0,9490,9125,0,14600,5475,1825,14600,0
